,SET,PRDM2_PR,PrmA,PHD,PWWP,BAH,Chromo,PHD-1st_NSD,C5HCH,NSD_PHD,PHDvar_NSD,PHD_2,Tudor_2,MBT,KDM3B_Tudor,PWWP_KDM3B,JmjC,JmjN,MOZ_SAS,zf-MYST,Bromodomain,Hist_deacetyl,Pkinase,PK_Tyr_Ser-Thr,Pkinase_C,WD40,AWS,DNMT3_ADD_GATA1-like,ADD_DNMT3,Helicase_C,SNF2-rel_dom,MBD,DNA_methylase,MBD_C,zf-C2H2,HMG_box,Homeodomain,Myb_DNA-binding,zf-CXXC,KRAB,ARID,SWIRM,GATA,HSA,zf-C5HC2,zf-CW,WSD,DDT,SAMD1_WH,BTB,PRMT_C,Chromo_shadow,RRM_1,Tudor-knot
SET,3.1,,,18.8,9.4,3.1,6.2,9.4,9.4,9.4,9.4,,,,,,,,,,3.1,,,,,,15.6,,,,,6.2,,,,3.1,,,6.2,,,,,,,,,,,,,,6.2,
PRDM2_PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,,,,,15.4,,,,,,,,,,,,,,
PrmA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,
PHD,14.3,,,35.7,7.1,,7.1,4.8,4.8,4.8,4.8,,7.1,,,,16.7,9.5,4.8,4.8,19.0,,,,,,4.8,,,7.1,7.1,2.4,,,,2.4,,,7.1,,9.5,,,,9.5,,9.5,7.1,4.8,,,,,
PWWP,16.7,,,16.7,16.7,,,16.7,16.7,16.7,16.7,16.7,,,,,,,,,27.8,,,,,,16.7,11.1,11.1,,,,11.1,,,5.6,,,,,,,,,,11.1,,,5.6,,,,,
BAH,14.3,,,,,28.6,,,,,,,,,,,,,,,28.6,,,,,,14.3,,,,,,14.3,,,14.3,,42.9,14.3,,,,42.9,,,,,,,,,,,
Chromo,8.7,,,13.0,,,26.1,,,,,,,,,,,,,,,,,,,,,,,39.1,39.1,,,,,,,,,,,,,,,,,,,,,13.0,,
PHD-1st_NSD,100.0,,,66.7,100.0,,,33.3,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,
C5HCH,100.0,,,66.7,100.0,,,100.0,,100.0,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,
NSD_PHD,100.0,,,66.7,100.0,,,100.0,100.0,,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,
PHDvar_NSD,100.0,,,66.7,100.0,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,
PHD_2,,,,,37.5,,,,,,,,37.5,,,,37.5,37.5,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tudor_2,,,,50.0,,,,,,,,50.0,50.0,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBT,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDM3B_Tudor,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWWP_KDM3B,,,,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JmjC,,,,33.3,,,,,,,,14.3,14.3,,14.3,14.3,,47.6,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,23.8,,,,,,,,,
JmjN,,,,40.0,,,,,,,,30.0,30.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,50.0,,,,,,,,,
MOZ_SAS,,,,40.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,40.0
zf-MYST,,,,40.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,40.0
Bromodomain,3.1,,,25.0,15.6,6.2,,,,,,9.4,,,,,,,,,28.1,,,,,3.1,3.1,,,6.2,6.2,3.1,,,,3.1,,,,,,,,6.2,,,12.5,9.4,3.1,,,,,
Hist_deacetyl,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pkinase,,,,,,,,,,,,,,,,,,,,,,,10.4,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK_Tyr_Ser-Thr,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
