,SET,PRDM2_PR,PrmA,PHD,PWWP,BAH,Chromo,PHD-1st_NSD,C5HCH,NSD_PHD,PHDvar_NSD,PHD_2,Tudor_2,MBT,KDM3B_Tudor,PWWP_KDM3B,JmjC,JmjN,MOZ_SAS,zf-MYST,Bromodomain,Hist_deacetyl,Pkinase,PK_Tyr_Ser-Thr,Pkinase_C,WD40,AWS,DNMT3_ADD_GATA1-like,ADD_DNMT3,Helicase_C,SNF2-rel_dom,MBD,DNA_methylase,MBD_C,zf-C2H2,HMG_box,Homeodomain,Myb_DNA-binding,zf-CXXC,KRAB,ARID,SWIRM,GATA,HSA,zf-C5HC2,zf-CW,WSD,DDT,SAMD1_WH,BTB,PRMT_C,Chromo_shadow,RRM_1,Tudor-knot,MBDa,zf-HC5HC2H_2,Pre-SET,ELM2,UCH,BRK,zf-UBP,Spin-Ssty,EPL1,PLU-1,KDM5_C-hel,FYRC,FYRN,ECH_1,BET,zf-HC5HC2H,FAT,FATC,CHDII_SANT-like,CHDNT,RAWUL,PHD_4,HDAC4_Gln,DPF1-3_N,DUF1087,DUF7030,PAS,PAS_11,KDM6_C-hel,PI3_PI4_kinase,Mtf2_C,MTA_R1,zf-C3HC4_2,KDM6_GATAL,zf-MYND,CHDCT2,JHD,C1_1,SWIRM-assoc_3,SWIRM-assoc_1,SWIRM-assoc_2,Nuc_rec_co-act,TIP49,P66_CC,PAD,MIER1_3_C,TIP49_C,HAND,SnAC,HAT_KAT11,HATPase_c_3,N-SET,RRM_3,Morc6_S5,TPR_8,SLIDE,Rubis-subs-bind,LIM,RING_CBP-p300,La,KIX,SRC-1,Methyltransf_25,preSET_CXC,C2,zf-C2H2_6,Peptidase_C12,Creb_binding,CAF1C_H4-bd,Caudal_act,PHD_5,CHD1-like_C,CDH1_2_SANT_HL1,zf-TAZ,Ank,PRC2_HTH_1,Amino_oxidase,AdenylateSensor,AMPK_alpha_AID,AHD,Ank_2,BRD4_CDT,zf-FCS_1,BAF250_C,ZZ,EHMT1-2_CRR,WAC_Acf1_DNA_bd,UCH_C,DUF3512,DUF1518,EZH2_WD-Binding,Tet_JBP,PAD_M,PAD_N,QLQ,F-box-like,Ezh2_MCSS,E_Pc_C,YEATS,Rttp106-like_middle,zf-B_box,zf-C2HC,zf-C3HC4,FHA,MRG,JAB
SET,3.1,,,18.8,9.4,3.1,6.2,9.4,9.4,9.4,9.4,,,,,,,,,,3.1,,,,,,15.6,,,,,6.2,,,,3.1,,,6.2,,,,,,,,,,,,,,6.2,,,6.2,21.9,,,,,,,,,12.5,12.5,,,12.5,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,6.2,,,,,6.2,,,,,,,6.2,,,,,,,6.2,,,,3.1,6.2,,,,,3.1,,,,,6.2,,,,,6.2,,,,,,6.2,,,,,,,,,
PRDM2_PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrmA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,14.3,,,35.7,7.1,,7.1,4.8,4.8,4.8,4.8,,7.1,,,,16.7,9.5,4.8,4.8,19.0,,,,,,4.8,,,7.1,7.1,2.4,,,,2.4,,,7.1,,9.5,,,,9.5,,9.5,7.1,4.8,,,,,,,4.8,,,,,,,,9.5,9.5,9.5,9.5,,,9.5,,,7.1,7.1,,,,7.1,7.1,,,,,,7.1,,,,,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,4.8,,,,,
PWWP,16.7,,,16.7,16.7,,,16.7,16.7,16.7,16.7,16.7,,,,,,,,,27.8,,,,,,16.7,11.1,11.1,,,,11.1,,,5.6,,,,,,,,,,11.1,,,5.6,,,,,,,16.7,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,14.3,,,,,28.6,,,,,,,,,,,,,,,28.6,,,,,,14.3,,,,,,14.3,,,14.3,,42.9,14.3,,,,42.9,,,,,,,,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromo,8.7,,,13.0,,,26.1,,,,,,,,,,,,,,,,,,,,,,,39.1,39.1,,,,,,,,,,,,,,,,,,,,,13.0,,,,,8.7,,,13.0,,,,,,,,17.4,,,,,13.0,13.0,,,,,13.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,8.7,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
PHD-1st_NSD,100.0,,,66.7,100.0,,,33.3,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5HCH,100.0,,,66.7,100.0,,,100.0,,100.0,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSD_PHD,100.0,,,66.7,100.0,,,100.0,100.0,,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
